level, suc, branch, estimate,bfsLasteight,estLasteight
01 CDoubleSeq,True,2.00 - 6.00 - 13.00 - 30.00 - 55.00 - 0.02,7 - 15 - 26 - 57 - 100 - 149,6.00 - 13.00 - 30.00 - 55.00 - 0.02,15 - 26 - 57 - 100 - 149
02 Angle60Drop,False,13.00 - 65.00 - 180.00 - 274.00 - 540.89,21 - 90 - 231 - 336 - 636,13.00 - 65.00 - 180.00 - 274.00 - 540.89,21 - 90 - 231 - 336 - 636
03 EquilateralAboutCircle,False,27.00 - 61.00 - 114.00 - 268.00 - 523.00 - 809.46 - 0.00,48 - 90 - 150 - 336 - 630 - 942 - 1706,114.00 - 268.00 - 523.00 - 809.46 - 0.00,150 - 336 - 630 - 942 - 1706
04 EquilateralInCircle,False,11.00 - 61.00 - 174.00 - 267.00 - 388.00 - 536.00 - 719.00 - 1279.88,21 - 90 - 231 - 336 - 468 - 630 - 825 - 1474,267.00 - 388.00 - 536.00 - 719.00 - 1279.88,336 - 468 - 630 - 825 - 1474
05 CutTwoRectangles,False,2688.00 - 3184.00 - 3737.00 - 4348.00 - 5022.00 - 5761.00,2856 - 3366 - 3933 - 4560 - 5250 - 6006,3184.00 - 3737.00 - 4348.00 - 5022.00 - 5761.00,3366 - 3933 - 4560 - 5250 - 6006
06 Sqrt2,False,30.00 - 66.00 - 120.00 - 277.50,48 - 90 - 150 - 336,30.00 - 66.00 - 120.00 - 277.50,48 - 90 - 150 - 336
07 Sqrt3,False,30.00 - 66.00 - 120.00 - 276.00 - 533.00,48 - 90 - 150 - 336 - 630,30.00 - 66.00 - 120.00 - 276.00 - 533.00,48 - 90 - 150 - 336 - 630
08 Angle15,False,13.00 - 65.00 - 180.00 - 274.00 - 395.00,21 - 90 - 231 - 336 - 468,13.00 - 65.00 - 180.00 - 274.00 - 395.00,21 - 90 - 231 - 336 - 468
09 SquareByOppMidpoints,False,6.00 - 26.00 - 61.00 - 174.33 - 0.00 - 1.00,21 - 48 - 90 - 231 - 532 - 468,26.00 - 61.00 - 174.33 - 0.00 - 1.00,48 - 90 - 231 - 532 - 468
10 SquareByAdjMidpoints,False,6.00 - 26.00 - 61.00 - 174.00 - 375.00 - 522.00 - 704.00 - 919.00 - 1175.00,21 - 48 - 90 - 231 - 468 - 630 - 825 - 1056 - 1326,375.00 - 522.00 - 704.00 - 919.00 - 1175.00,468 - 630 - 825 - 1056 - 1326
