level, accuracy, visists, branching, estimates, time, time min_max, used models,bfsAverage,estAverage
01 Parallel,0.70,426.0,0.71 - 1.00 - 1.00,90 - 150 - 231,0.11,0.06 / 0.20,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 700},0.90,157.00
02 TParallel,0.53,250.0,0.53,16,0.07,0.06 / 0.09,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 265},0.53,16.00
03 Parallelogram3V,0.86,1136.5,1.00 - 1.01 - 1.07 - 1.18 - 1.87,57 - 106 - 175 - 267 - 385,0.30,0.13 / 2.49,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1722},1.23,198.00
04 LineAlongPoints,0.98,508.0,1.07 - 1.00 - 1.00,57 - 106 - 175,0.13,0.12 / 0.45,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 980},1.02,112.67
05 LineBetweenPoints,0.96,906.5,1.13 - 1.31 - 1.10 - 2.07 - 2.34,57 - 106 - 175 - 267 - 385,0.23,0.17 / 3.81,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1447},1.59,198.00
06 Hash,0.83,1111.0,1.66 - 1.21 - 1.32 - 1.59 - 1.50,532 - 711 - 925 - 1177 - 1470,0.31,0.12 / 2.63,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 865},1.46,963.00
07 ShiftAngle,0.98,507.5,1.00 - 1.00 - 1.13,267 - 385 - 532,0.15,0.13 / 0.31,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 980},1.04,394.67
08 EquidistantParallel,0.90,1276.0,1.42 - 1.04 - 2.95 - 2.06 - 2.02 - 2.30 - 2.48,175 - 267 - 385 - 532 - 711 - 925 - 1177,0.36,0.06 / 16.97,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 942},2.04,596.00
09 SquareAboutCircle,0.94,1466.0,0.98 - 1.00 - 1.03 - 0.96 - 1.00 - 1.00 - 0.86 - 1.00,267 - 385 - 532 - 711 - 925 - 1177 - 1470 - 1807,0.40,0.06 / 0.53,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2821},0.98,909.25
10 SquareInSquare,0.98,9174.0,1.59 - 1.04 - 1.02 - 1.07 - 1.15 - 1.37 - 2.58 - 2.23 - 1.95 - 1.77 - 1.68,711 - 925 - 1177 - 1470 - 1807 - 2191 - 2625 - 3112 - 3655 - 4257 - 4921,2.41,0.13 / 683.29,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 2930},1.59,2441.00
11 CircleInOutSquare,1.00,750.0,1.00 - 1.00 - 1.00,532 - 711 - 925,0.19,0.17 / 0.21,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 1500},1.00,722.67
12 HexagonBySide,0.99,1776.0,1.00 - 1.00 - 1.00 - 1.00 - 1.00 - 1.00 - 1.01 - 1.55 - 0.71 - 0.67 - 0.38 - 0.67 - 0.50,57 - 106 - 175 - 267 - 385 - 532 - 711 - 925 - 1177 - 1470 - 1807 - 2191 - 2625,0.45,0.39 / 1.53,{'/home/mackej/MasterThesis/src/logs/All_at_once/20201016/mask_rcnn_geometryfromimages_0400.h5': 3458},0.88,956.00
