level, suc, branch, estimate
01 ChordMidpoint,True,27.00 - 0.07,48 - 128
02 ATrByOrthocenter,False,71.00 - 189.00 - 394.00 - 691.73,90 - 231 - 468 - 794
03 AtrByCircumcenter,False,70.00 - 188.00 - 396.54,90 - 231 - 468
04 AEqualSegments1,False,71.00 - 189.00 - 393.00 - 690.53 - 0.00,90 - 231 - 468 - 794 - 1459
05 CircleTangentPL,False,30.00 - 66.00 - 212.81,48 - 90 - 255
06 TrapezoidCut,False,416.00 - 570.00 - 757.00 - 1120.20,468 - 630 - 825 - 1211
07 Angle45,True,13.00 - 65.00 - 180.00 - 0.01,21 - 90 - 231 - 507
08 Lozenge,False,30.00 - 66.00 - 120.00 - 277.00 - 528.21 - 0.00,48 - 90 - 150 - 336 - 619 - 1214
09 CentroidOfQuadrilateral,False,416.00 - 570.00 - 757.00 - 977.00 - 1238.00 - 1751.17,468 - 630 - 825 - 1056 - 1326 - 1868

