gammalevel,gammaacc,deltalevel,deltaacc
01 ChordMidpoint,0.998,01 CDoubleSeq,0.944
02 ATrByOrthocenter,0.65,02 Angle60Drop,0.438
03 AtrByCircumcenter,0.834,03 EquilateralAboutCircle,0.952
04 AEqualSegments1,0.82,04 EquilateralInCircle,0.994
05 CircleTangentPL,0.868,05 CutTwoRectangles,0.534
06 TrapezoidCut,0.672,06 Sqrt2,0
07 Angle45,1,07 Sqrt3,0.9
08 Lozenge,0.606,08 Angle15,0.84
09 CentroidOfQuadrilateral,0.744,09 SquareByOppMidpoints,0.914
,,10 SquareByAdjMidpoints,0.8415
Accuracy,0.799,Accuracy,0.735
