level; accuracy; visists; branching factor; estimates; time; time min_max; used models; connections
01 T1 line;0.10;43;1.00 - 0.15 - 0.67;6 - 10 - 15;2.51;0.62 / 36.64;{'/Delta_as_whole/20200909_4M_images': 2, '/Epsilon_as_whole/20201008': 3, '/Beta_as_whole/20201008': 1};Beta, Delta, Epsilon
02 T2 circle;0.45;30;0.65 - 0.90;4 - 9;0.48;0.31 / 0.65;{'/Delta_as_whole/20200909_4M_images': 5, '/Epsilon_as_whole/20201008': 8, '/Gamma_as_whole/new_degeneration_criteria': 2};Gamma, Delta, Epsilon
03 T3 point;0.90;58;1.00 - 0.90 - 1.00;21 - 28 - 36;0.96;0.62 / 1.04;{'/Delta_as_whole/20200909_4M_images': 17, '/Zeta_as_whole/20201008': 36, '/Beta_as_whole/20201008': 1};Beta, Delta, Zeta
04 TIntersect;1.00;40;1.00 - 1.00;45 - 55;0.63;0.60 / 0.65;{'/Delta_as_whole/20200909_4M_images': 37, '/Zeta_as_whole/20201008': 3};Delta, Zeta
05 TEquilateral;0.70;3333;2.30 - 2.09 - 3.44 - 3.53 - 3.51 - 3.51;21 - 36 - 55 - 78 - 105 - 136;54.47;0.64 / 477.32;{'/Zeta_as_whole/20201008': 13, '/Gamma_as_whole/new_degeneration_criteria': 10, '/Epsilon_as_whole/20201008': 19, '/Delta_as_whole/20200909_4M_images': 9, '/Beta_as_whole/20201008': 7};Beta, Gamma, Delta, Epsilon, Zeta
06 Angle60;1.00;90;1.95 - 2.05 - 1.50 - 1.36 - 1.75 - 1.91;21 - 36 - 55 - 78 - 105 - 136;1.47;0.97 / 4.72;{'/Zeta_as_whole/20201008': 16, '/Delta_as_whole/20200909_4M_images': 15, '/Beta_as_whole/20201008': 24, '/Epsilon_as_whole/20201008': 12, '/Gamma_as_whole/new_degeneration_criteria': 8};Beta, Gamma, Delta, Epsilon, Zeta
07 PerpBisector;1.00;169;2.55 - 1.30 - 1.27 - 2.78 - 3.08 - 3.61;21 - 36 - 55 - 78 - 105 - 136;2.76;0.97 / 25.47;{'/Zeta_as_whole/20201008': 15, '/Delta_as_whole/20200909_4M_images': 28, '/Beta_as_whole/20201008': 7, '/Epsilon_as_whole/20201008': 7, '/Gamma_as_whole/new_degeneration_criteria': 4};Beta, Gamma, Delta, Epsilon, Zeta
08 TPerpBisector;1.00;20;1.00;6;0.33;0.32 / 0.35;{'/Epsilon_as_whole/20201008': 19, '/Zeta_as_whole/20201008': 1};Epsilon, Zeta
09 Midpoint;0.60;910;2.75 - 4.73 - 4.67 - 4.28;13 - 27 - 46 - 70;15.20;0.97 / 59.41;{'/Zeta_as_whole/20201008': 20, '/Epsilon_as_whole/20201008': 20, '/Delta_as_whole/20200909_4M_images': 1, '/Beta_as_whole/20201008': 2, '/Gamma_as_whole/new_degeneration_criteria': 1};Beta, Gamma, Delta, Epsilon, Zeta
10 CircleInSquare;1.00;710;5.40 - 5.40 - 3.41 - 3.56 - 4.36 - 4.47;172 - 216 - 265 - 319 - 378 - 442;11.40;1.02 / 65.54;{'/Beta_as_whole/20201008': 31, '/Epsilon_as_whole/20201008': 8, '/Delta_as_whole/20200909_4M_images': 12, '/Gamma_as_whole/new_degeneration_criteria': 28, '/Zeta_as_whole/20201008': 24};Beta, Gamma, Delta, Epsilon, Zeta
11 RhombusInRect;0.40;20826;6.50 - 4.79 - 4.10 - 4.09 - 3.80 - 3.48;265 - 319 - 378 - 442 - 511 - 585;333.25;1.03 / 585.22;{'/Epsilon_as_whole/20201008': 14, '/Gamma_as_whole/new_degeneration_criteria': 16, '/Delta_as_whole/20200909_4M_images': 2, '/Beta_as_whole/20201008': 2};Beta, Gamma, Delta, Epsilon
12 CircleCenter;0.00;20;;;0.30;0.29 / 0.30;{};
13 SquareInCircle;0.10;24212;1.80 - 3.25 - 3.56 - 3.82 - 2.76 - 2.35 - 2.66 - 3.29 - 4.02 - 4.53;27 - 46 - 70 - 99 - 133 - 172 - 216 - 265 - 319 - 378;391.47;0.31 / 1009.08;{'/Zeta_as_whole/20201008': 2, '/Beta_as_whole/20201008': 2, '/Epsilon_as_whole/20201008': 3, '/Gamma_as_whole/new_degeneration_criteria': 8};Beta, Gamma, Epsilon, Zeta
